symbol,name,price,change_price,change_percent,market_price
PIGE-USD,Pige USD,0.00000000,0.00000000,0.34%,0
GORA-USD,Gora USD,0.460027,0.021440,4.89%,0
EXOS-USD,Exobots USD,0.005150,0.000000,0.00%,0
DOGE-129289-USD,DOGE-1 USD,0.000084,0.000009,11.61%,0
NIRV-USD,Nirvana NIRV USD,0.022306,-0.000402,-1.77%,0
NUUM-USD,MNet USD,0.050079,0.005697,12.84%,0
ISSP-USD,ISSP USD,0.000288,0.000017,6.32%,0
RICK-USD,Infinite Ricks USD,0.00000051,-0.00000001,-1.22%,0
B3X-USD,Bnext Token USD,0.001170,-0.000010,-0.81%,0
REDFLOKICEO-USD,Red Floki CEO USD,0.000503,0.000005,0.98%,0
KLP-USD,Kulupu USD,0.002671,0.000090,3.49%,0
DOR-USD,DoragonLand USD,0.000183,0.000002,1.30%,0
BICS-USD,Biceps USD,0.00000520,-0.00000049,-8.63%,0
TMFT-USD,Türkiye Motosiklet Federasyonu Fan Token USD,0.000297,0.000009,3.09%,0
DWARS-USD,Dynasty Wars USD,0.132047,-0.018135,-12.08%,0
FT21356-USD,FractonX USD,2.5029,0.2775,12.47%,0
VMPX-USD,VMPX (Ordinals) USD,0.045392,-0.000228,-0.50%,0
TX23686-USD,Tradix USD,0.003106,0.000044,1.44%,0
CDX-USD,CodeXchain USD,0.031402,0.000718,2.34%,0
GHSY-USD,Ghosty Cash USD,0.292980,-0.011335,-3.72%,0
OX26543-USD,Open Exchange Token USD,0.013022,0.002338,21.88%,0
KNDX-USD,Kondux USD,0.10127,0.00000,0.00%,0
LIKE-USD,LikeCoin USD,0.001790,0.000028,1.57%,0
WPOKT-USD,wrapped POKT USD,0.256899,-0.014667,-5.40%,0
TQRT-USD,TokoQrt USD,1.0005,0.0001,0.01%,0
BABYCEO-USD,Baby Doge CEO USD,0.00000000,0.00000000,0.35%,0
SBCC-USD,Smart Block Chain City USD,0.000192,-0.000009,-4.71%,0
PETF-USD,PEPE ETF USD,0.00000511,-0.00000061,-10.72%,0
BTC20-USD,Bitcoin 2.0 USD,0.064865,0.002097,3.34%,0
ASAN-USD,ASAN VERSE USD,0.000041,-0.000000,-0.33%,0
SEAMLESS-USD,SeamlessSwap USD,0.000064,0.000000,0.00%,0
USDE-USD,USDe USD,0.992184,-0.001011,-0.10%,0
DOTR-USD,Cydotori USD,0.000199,0.000000,0.01%,0
VOLTZ-USD,Voltz USD,0.004574,0.000107,2.38%,0
BHAT-USD,BH Network USD,0.014915,0.000718,5.06%,0
MAR3-USD,Mar3 AI USD,0.009207,0.000843,10.07%,0
NFTBS-USD,NFTBooks USD,0.00000003,0.00000000,3.10%,0
LORDZ-USD,Meme Lordz USD,0.015719,0.000211,1.36%,0
PUFF-USD,Puff USD,0.015214,0.000989,6.95%,0
BRETT28891-USD,Brett USD,0.004847,0.001848,61.63%,0
RAPTOR27019-USD,Jesus-Raptor USD,0.00000000,0.00000000,28.99%,0
PAYU-USD,Platform of meme coins USD,0.00000000,-0.00000000,-1.94%,0
DUBAICAT-USD,Dubai Cat USD,0.000052,0.000000,0.81%,0
PAPPAY-USD,PAPPAY USD,0.00000015,0.00000000,0.00%,0
HQR-USD,Hayya Qatar USD,0.00000000,0.00000000,0.00%,0
HBDC-USD,Happy Birthday Coin USD,0.003618,-0.000090,-2.42%,0
GENSLR-USD,Good Gensler USD,0.00000000,0.00000000,37.37%,0
PRT11935-USD,Parrot Protocol USD,0.000361,0.000011,3.14%,0
ICON-USD,Iconic USD,0.002789,0.000073,2.67%,0
DEEM-USD,iShares MSCI Emerging Markets ETF Defichain USD,22.73,0.74,3.34%,0
ZKZ-USD,Zkzone USD,0.000711,0.000000,0.00%,0
EVE17212-USD,EVE Token USD,0.003898,-0.000029,-0.74%,0
NSDX-USD,NASDEX USD,0.167201,0.002006,1.21%,0
BETS18453-USD,BetSwirl USD,0.000696,0.000028,4.12%,0
LBR24700-USD,Lybra Finance USD,0.414987,-0.008571,-2.02%,0
PAI28953-USD,Purple AI USD,11.14,0.32,2.92%,0
LYRA29194-USD,Lyra USD,0.000080,0.000023,40.96%,0
LAYER24617-USD,Layer Network USD,0.00000659,0.00000000,0.00%,0
TCNH-USD,TrueCNH USD,0.120020,0.000008,0.01%,0
GBT-USD,Green Block Token USD,0.000713,-0.000006,-0.87%,0
JAIHO-USD,Jaiho Crypto USD,0.001207,0.000018,1.55%,0
UJENNY-USD,Jenny Metaverse DAO Token USD,0.463040,0.004461,0.97%,0
PTM-USD,Potentiam USD,0.016035,0.000414,2.65%,0
LFNTY-USD,Lifinity USD,1.7750,0.0406,2.34%,0
NTO-USD,Neton USD,0.000085,0.000003,3.26%,0
AVN-USD,AVNRich Token USD,0.000400,-0.000100,-20.00%,0
BLTC-USD,BABYLTC USD,0.00000656,0.00000000,0.00%,0
AI27776-USD,Ai.com USD,0.001018,0.000000,0.00%,0
CYBER-USD,Cyberpunk City USD,0.173966,-0.005005,-2.80%,0
TIME12436-USD,Timeleap Finance USD,0.109031,0.001944,1.81%,0
NLC20826-USD,Nelore Coin USD,0.002581,0.000010,0.40%,0
RWN-USD,Rowan Token USD,0.243531,0.014599,6.38%,0
DFC23171-USD,Defi Connect (new) USD,0.000665,0.000513,337.58%,0
ROCK28400-USD,Rock USD,0.00000290,0.00000038,15.29%,0
TMC27605-USD,Toman Coin USD,0.129461,0.001142,0.89%,0
BIT29198-USD,Bitonite USD,0.535416,-0.009705,-1.78%,0
KABOSU-USD,Kabosu USD,0.00000000,-0.00000000,-2.53%,0
ORAIX-USD,OraiDEX USD,0.017488,0.000009,0.05%,0
GUAP-USD,Guapcoin USD,0.002929,-0.007259,-71.25%,0
HEGG-USD,Hummingbird Egg USD,0.000134,0.000000,0.37%,0
UCAP-USD,Unicap.finance USD,0.005960,-0.000001,-0.01%,0
SAVM-USD,SatoshiVM USD,8.7918,2.0686,30.77%,0
RAFT-USD,Raft USD,0.000626,-0.000035,-5.29%,0
GRAIL22949-USD,Camelot Token USD,"1,683.11",62.91,3.88%,0
METI-USD,Meetin Token USD,0.000720,0.000000,0.01%,0
EDGE-USD,Edge USD,0.130315,0.010939,9.16%,0
HOLY22713-USD,HolyGrails.io USD,0.006030,0.000006,0.10%,0
CRTB-USD,Coritiba F.C. Fan Token USD,0.081161,0.000006,0.01%,0
BCAU-USD,BetaCarbon USD,0.023354,-0.000151,-0.64%,0
ECLIP-USD,Eclipse Fi USD,0.286749,0.010993,3.99%,0
HARAM-USD,HARAM USD,0.00000000,0.00000000,3.52%,0
BLACK9450-USD,BLACKHOLE PROTOCOL USD,0.000015,0.000007,93.62%,0
CLAM-USD,Clams USD,0.289202,0.015566,5.69%,0
STF-USD,Structure finance USD,0.009358,-0.000363,-3.73%,0
YOC-USD,Yocoin USD,0.000052,0.000020,60.52%,0
A51-USD,A51 Finance USD,0.318652,0.003072,0.97%,0
SWI-USD,Swinca USD,0.000011,0.000000,0.00%,0
DEMIR-USD,Adana Demirspor Token USD,0.594297,0.002183,0.37%,0
BULLINU-USD,Bull inu USD,0.00000000,0.00000000,1.09%,0
SHPP-USD,Shipit pro USD,0.001198,0.000017,1.43%,0
BULLPEPE-USD,Bullpepe USD,0.00000000,0.00000000,3.52%,0
SHINJA22916-USD,Shibnobi(New) USD,0.000025,-0.000000,-0.01%,0
PAWS-USD,PawStars USD,0.00000003,0.00000000,1.17%,0
SPC23174-USD,Storepay USD,0.000067,-0.000000,-0.05%,0
MGA-USD,Metagame Arena USD,0.003578,0.000252,7.57%,0
PAM-USD,PAM USD,0.00000000,0.00000000,2.49%,0
TMC12326-USD,Majority Blockchain USD,0.000500,0.000000,0.00%,0
ZENI23553-USD,Zeni USD,0.000402,0.000018,4.59%,0
LIQ-USD,LIQ Protocol USD,0.002603,-0.000031,-1.16%,0
GEMS-USD,Safegem USD,0.00000000,0.00000000,6.61%,0
X27683-USD,XAI USD,0.00000000,-0.00000000,-7.21%,0
VMATIC-USD,Venus MATIC USD,0.019127,0.000474,2.54%,0
CDOGE-USD,cyberdoge USD,0.000032,-0.000004,-10.70%,0
PEPEFLOKI29701-USD,PepeFloki USD,0.00000090,0.00000000,0.41%,0
BBT-USD,BitBook USD,0.001219,0.000013,1.09%,0
HONK29255-USD,HONK USD,0.000123,0.000002,1.51%,0
BTCB20721-USD,Bitcoin Avalanche Bridged USD,"69,606.70","1,863.91",2.75%,0
WZETA-USD,Wrapped Zeta USD,1.8706,0.0341,1.86%,0
AES-USD,Aree Shards USD,0.001712,-0.000231,-11.89%,0
SOL10-USD,SOLANA MEME TOKEN USD,0.000022,-0.000001,-4.57%,0
VSL-USD,Vetter Skylabs USD,0.000040,0.000000,0.63%,0
TYPE27600-USD,TypeIt USD,0.005333,-0.000165,-3.01%,0
SWISE-USD,StakeWise USD,0.031912,0.000401,1.27%,0
KDX-USD,KAIDEX USD,0.000370,0.000003,0.84%,0
TFI-USD,TrustFi Network USD,0.022478,-0.000277,-1.22%,0
CORGI29666-USD,Welsh Corgi USD,0.021938,0.000978,4.66%,0
PIX-USD,Pixie USD,0.000234,0.000014,6.33%,0
ANDY29811-USD,Andy on SOL USD,0.009569,0.000558,6.19%,0
GIDDY-USD,Giddy USD,0.005584,0.000122,2.23%,0
HDAO15492-USD,humanDAO USD,0.004586,0.000014,0.30%,0
XMT-USD,MetalSwap USD,0.017313,0.000181,1.06%,0
GSC-USD,Global Social Chain USD,0.001574,0.000000,0.00%,0
BUB-USD,Bubble USD,0.001394,0.000036,2.65%,0
AIKEK-USD,AlphaKEK.AI USD,0.014709,0.002581,21.28%,0
PINETWORKDEFI-USD,Pi Network DeFi USD,0.000039,-0.000002,-5.68%,0
RSRV-USD,Reserve USD,1.0001,-0.0001,-0.01%,0
CAVE-USD,Crypto Cavemen Club USD,0.041091,-0.000134,-0.32%,0
HBIT-USD,HashBit USD,0.00000076,0.00000012,18.96%,0
BLID-USD,Bolide USD,0.002488,-0.000552,-18.15%,0
BDRM-USD,Bodrumspor Fan Token USD,0.005401,0.000069,1.29%,0
VEGE-USD,Vege Token USD,0.183720,-0.007866,-4.11%,0
FLIP-USD,Chainflip USD,5.4774,0.0402,0.74%,0
MDS-USD,MediShares USD,0.000216,-0.000001,-0.37%,0
GOD-USD,Bitcoin God USD,0.485934,0.012548,2.65%,0
HPT-USD,Huobi Pool Token USD,0.000061,0.000000,0.67%,0
PULSE25198-USD,PulseAI USD,0.00000034,-0.00000001,-3.83%,0
XDOGE28333-USD,XDOGE USD,0.00000000,0.00000000,2.26%,0
CPOO-USD,Cockapoo USD,0.00000012,0.00000000,0.02%,0
WOOD-USD,Mindfolk Wood USD,0.001312,-0.000161,-10.95%,0
CATS-USD,CATCOIN USD,0.00000000,0.00000000,6.16%,0
DGP-USD,DGPayment USD,0.000940,0.000000,0.01%,0
SX-USD,SX Network USD,0.110082,-0.000745,-0.67%,0
SONG-USD,SongCoin USD,0.000697,0.000018,2.67%,0
DXCT-USD,DNAxCAT Token USD,0.026453,0.000026,0.10%,0
GRAVITAS-USD,Gravitas USD,0.000034,0.000000,0.00%,0
BNSD-USD,BNSD Finance USD,0.001184,0.000112,10.42%,0
CYBERTRUCK28669-USD,CYBERTRUCK USD,0.00000000,-0.00000000,-0.31%,0
ASTO-USD,Altered State Token USD,0.052444,-0.000611,-1.15%,0
MELI-USD,MELI USD,0.000129,0.000012,10.37%,0
EQ9-USD,EQ9 USD,0.000835,-0.000035,-4.02%,0
MEAN-USD,Mean DAO USD,0.031735,0.001021,3.32%,0
NUSA-USD,Nusa USD,11.48,0.03,0.24%,0
BDID-USD,BDID USD,0.000871,0.000036,4.29%,0
VKNF-USD,VKENAF USD,0.005919,0.000130,2.25%,0
KOIN8282-USD,Koinos USD,0.850435,-0.006722,-0.78%,0
SCSX-USD,Secure Cash USD,0.092481,0.002877,3.21%,0
DLTA-USD,delta.theta USD,0.005621,0.000000,0.00%,0
BHAX-USD,BHAX Token USD,0.001676,0.000012,0.72%,0
CAWCEO-USD,CAW CEO USD,0.00000000,0.00000000,25.56%,0
MAGA20-USD,MAGA 2.0 USD,0.00000000,0.00000000,2.14%,0
DCARD-USD,DECENTRACARD USD,0.029000,0.001900,7.01%,0
DOGGO-USD,DOGGO USD,0.00000001,-0.00000000,-1.41%,0
COP-USD,Copiosa Coin USD,0.000263,-0.000043,-14.19%,0
GEMS19792-USD,Gem Pad USD,0.016094,0.000112,0.70%,0
AUX-USD,Auxilium USD,0.000673,0.000016,2.46%,0
JSM-USD,Joseon Mun USD,0.010556,0.000221,2.14%,0
USDCE-USD,USD Coin Bridged USD,0.999857,-0.000003,-0.00%,0
TEDDY-USD,Teddy Cash USD,0.002772,0.000082,3.04%,0
POODL-USD,Poodl Token USD,0.00000001,0.00000000,3.35%,0
A5T-USD,Alpha5 USD,0.007424,0.000110,1.51%,0
GROKCOIN-USD,Grok Coin USD,0.00000000,0.00000000,1.42%,0
WSX-USD,Wrapped SX Network USD,0.108838,-0.000413,-0.38%,0
NT27791-USD,NexDAX Chain USD,0.003820,0.001037,37.28%,0
LIVE-USD,TRONbetLive USD,0.012812,0.000001,0.01%,0
HAVY-USD,Havy USD,0.000034,0.000001,2.27%,0
CZOL-USD,Czolana USD,0.001579,0.000043,2.79%,0
ELONDRAGON-USD,ELON DRAGON USD,0.00000004,-0.00000002,-35.30%,0
EXEN-USD,Exen Coin USD,0.205478,-0.001871,-0.90%,0
DEFY-USD,DEFY USD,0.000508,0.000048,10.54%,0
BALI-USD,Bali Coin USD,0.002789,0.000072,2.65%,0
JF-USD,Jswap.Finance USD,0.006221,0.000000,0.00%,0
BTRL-USD,BitcoinRegular USD,0.010994,0.000035,0.32%,0
TUNA-USD,TUNACOIN USD,0.014632,-0.000052,-0.35%,0
HARE-USD,Hare Token USD,0.00000000,0.00000000,1.02%,0
DVK-USD,Devikins USD,0.000599,-0.000006,-0.94%,0
SPOL29093-USD,Sociapol USD,0.000105,-0.000002,-1.94%,0
IBANK-USD,iBank USD,0.000697,0.000018,2.67%,0
GROKKY-USD,GroKKy USD,0.00000000,0.00000000,0.00%,0
CBD-USD,Greenheart CBD USD,0.002468,0.000032,1.33%,0
XM-USD,xMooney USD,0.00000238,0.00000005,2.24%,0
SPIDERMAN-USD,SPIDERMAN BITCOIN USD,0.00000000,0.00000000,2.39%,0
UTT-USD,United Traders Token USD,0.005033,-0.007071,-58.42%,0
TBC-USD,TeraBlock USD,0.004731,0.000064,1.37%,0
WFT-USD,Windfall Token USD,0.113811,0.006540,6.10%,0
2GCC-USD,2G CARBON COIN USD,0.006590,-0.000095,-1.41%,0
POT25508-USD,TraderDAO USD,0.002496,-0.000003,-0.13%,0
FMB26675-USD,Flappymoonbird USD,0.025632,0.001386,5.72%,0
VNM-USD,Venom USD,0.013837,0.000151,1.10%,0
CULO-USD,CULO USD,0.000012,-0.000000,-1.53%,0
RVST-USD,Revest Finance USD,0.325495,-0.024340,-6.96%,0
PASG-USD,Passage USD,0.044429,0.000912,2.10%,0
NAVX-USD,NAVI Protocol USD,0.284922,0.013192,4.85%,0
LIGO-USD,LIGO USD,0.000016,0.000002,10.39%,0
VTU-USD,Virtu USD,25.29,0.22,0.86%,0
AITIGER-USD,BNB Tiger AI USD,0.00000000,0.00000000,0.00%,0
DEVT15659-USD,Decentralized Eternal Virtual Traveller USD,0.003946,0.000055,1.41%,0
BGN28468-USD,Bitgain USD,0.001476,-0.000160,-9.79%,0
MEMES28990-USD,MemeCoinDAO USD,0.003738,0.001902,103.62%,0
EVX-USD,Everex USD,0.013944,0.004538,48.25%,0
SEAM-USD,Seamless USD,6.0123,-0.1499,-2.43%,0
RPD-USD,Rapids USD,0.002251,-0.000202,-8.23%,0
MODX-USD,MODEL-X-coin USD,0.013944,0.000360,2.65%,0
MARSRISE-USD,MarsRise USD,0.00000000,0.00000000,2.64%,0
LUCHOW-USD,LunaChow USD,0.00000076,0.00000000,0.25%,0
ATID-USD,AstridDAO Token USD,0.000530,-0.000010,-1.94%,0
EGX-USD,Enegra (EGX) USD,200.87,0.33,0.16%,0
XAUR-USD,Xaurum USD,0.025098,0.000648,2.65%,0
DMT25653-USD,Sanko GameCorp USD,90.37,5.86,6.94%,0
MCT21542-USD,Mundocrypto USD,0.021122,0.000008,0.04%,0
AFNTY-USD,Affinity USD,0.00000263,0.00000003,1.04%,0
WASSIE-USD,WASSIE USD,0.00000746,-0.00000061,-7.53%,0
NIOB-USD,Niob Finance USD,0.001518,-0.000016,-1.02%,0
HERMES-USD,Hermes Protocol USD,0.029097,0.000136,0.47%,0
MZK-USD,MuziKoin USD,0.005996,0.000076,1.28%,0
HOM-USD,Homeety USD,0.056931,0.001108,1.99%,0
ETH2027651-USD,Ethereum 2.0 USD,0.00000004,-0.00000001,-24.82%,0
FLOKICEO-USD,FLOKI CEO USD,0.00000000,-0.00000000,-5.20%,0
NMKR-USD,NMKR USD,0.003150,0.000072,2.33%,0
CCN-USD,CustomContractNetwork USD,0.000034,0.000001,2.26%,0
LOTTY-USD,Lotty USD,0.00000040,0.00000000,0.21%,0
PEPI-USD,Pepito BSC USD,0.00000725,-0.00000019,-2.55%,0
WEXPOLY-USD,WaultSwap Polygon USD,0.00000235,0.00000004,1.56%,0
GINOA-USD,Ginoa USD,0.135938,0.009855,7.82%,0
BASIS-USD,basis.markets USD,0.005923,-0.000189,-3.09%,0
SYMM-USD,Symmetric USD,0.561429,0.015697,2.88%,0
PUNCH-USD,PUNCHWORD USD,0.000295,0.000052,21.13%,0
GROKKING-USD,GrokKing USD,0.00000000,-0.00000000,-15.25%,0
BABYPORK-USD,Baby Pepe Fork USD,0.00000000,-0.00000000,-7.84%,0
MCT8448-USD,MCOBIT USD,0.000350,0.000000,0.01%,0
WATER29432-USD,doginwotah USD,0.000045,0.000001,1.31%,0
GHO-USD,GHO USD,0.995601,0.000156,0.02%,0
POPCAT28782-USD,Popcat (SOL) USD,0.271912,0.069177,34.12%,0
BUILD21113-USD,BUILD USD,0.000127,-0.000094,-42.65%,0
NZERO-USD,NetZero USD,0.001481,0.000032,2.24%,0
META18255-USD,META ARENA USD,0.011805,0.000330,2.88%,0
CHEERS-USD,CheersLand USD,0.023141,0.003329,16.80%,0
AURA20326-USD,Aura Network USD,0.040967,0.000511,1.26%,0
CLOUD29365-USD,DeCloud USD,0.000197,0.000019,10.75%,0
RAPTOR-USD,Jesus USD,0.00000000,0.00000000,0.00%,0
STRDY-USD,Sturdy USD,1.0225,0.0170,1.69%,0
BTH-USD,Bit Hotel USD,0.001133,0.000007,0.63%,0
MPI-USD,Metapioneers USD,0.000160,-0.000000,-0.04%,0
KXC-USD,KingXChain USD,0.000034,0.000001,2.27%,0
MILK23640-USD,Cool Cats MILK USD,0.000135,0.000004,2.85%,0
FLOKIM-USD,Flokimooni USD,0.00000006,0.00000000,0.82%,0
DYST-USD,Dystopia USD,0.000048,-0.000000,-0.97%,0
REDFLOKI-USD,Red Floki USD,0.00000000,0.00000000,1.93%,0
HMX29121-USD,HMX USD,7.3008,0.1725,2.42%,0
HUB29068-USD,Dogihub (DRC-20) USD,0.119094,0.026607,28.77%,0
XLIST-USD,XList USD,0.000600,0.000000,0.01%,0
BERRY-USD,Rentberry USD,0.000507,-0.000010,-2.01%,0
SOKU-USD,SokuSwap USD,0.000391,0.000003,0.90%,0
PAYN-USD,PayNet Coin USD,0.384206,0.000206,0.05%,0
AOT-USD,Age of Tanks USD,0.000567,0.000002,0.34%,0
MUSK24800-USD,Elon Musk USD,0.000027,0.000003,12.17%,0
PUSD-USD,Pando USD USD,1.0647,0.0000,0.00%,0
ROCKETFI-USD,RocketFi USD,0.00000083,0.00000008,10.48%,0
AQUAGOAT-USD,AquaGoat.Finance USD,0.00000000,0.00000000,1.56%,0
CRISP-M-USD,CRISP Scored Mangroves USD,29.20,0.00,0.00%,0
TRC22783-USD,Tracer USD,0.134487,-0.000285,-0.21%,0
TIC27426-USD,Tribalisland game Token USD,0.00000621,0.00000019,3.07%,0
MAY-USD,Theresa May Coin USD,0.000697,0.000018,2.65%,0
XGT-USD,Xion Finance USD,0.001992,0.000519,35.24%,0
TAB-USD,TABANK USD,0.038010,0.000002,0.00%,0
ALD10272-USD,AladdinDAO USD,0.059524,-0.000548,-0.91%,0
UGOLD-USD,UGOLD Inc. USD,"2,400.28",-0.25,-0.01%,0
RYOSHI28002-USD,Ryoshi's Coin USD,0.000016,0.000001,7.47%,0
BOBO20-USD,BOBO 2.0 USD,0.00000000,0.00000000,0.00%,0
THE9-USD,THE9 USD,0.012001,-0.003703,-23.58%,0
USDCE-USD,USD Coin Bridged USD,0.999857,-0.000003,-0.00%,0
TEDDY-USD,Teddy Cash USD,0.002772,0.000082,3.04%,0
POODL-USD,Poodl Token USD,0.00000001,0.00000000,3.35%,0
GROKCOIN-USD,Grok Coin USD,0.00000000,0.00000000,1.42%,0
P404-USD,Potion 404 USD,8.6844,-0.0917,-1.05%,0
A5T-USD,Alpha5 USD,0.007424,0.000110,1.51%,0
DUET-USD,Duet Protocol USD,0.000524,0.000012,2.27%,0
MON20082-USD,Monstock USD,0.000276,-0.000009,-3.19%,0
LSP-USD,Lumenswap USD,0.009473,0.001951,25.94%,0
AZR-USD,Azure USD,0.001726,0.000001,0.07%,0
GRAM-USD,Gram USD,0.053447,0.002328,4.55%,0
MOLA-USD,Moonlana USD,0.000072,-0.000002,-2.49%,0
ITAM-USD,ITAM Games USD,0.025683,0.000000,0.00%,0
BETH-USD,Beacon ETH USD,"3,409.81",78.82,2.37%,0
CAIR-USD,Crypto-AI-Robo.com USD,0.000565,-0.000002,-0.40%,0
PLA3731-USD,PlayChip USD,0.00000868,0.00000022,2.57%,0
BTAF-USD,BTAF token USD,0.093292,0.004467,5.03%,0
WSX-USD,Wrapped SX Network USD,0.108838,-0.000413,-0.38%,0
NT27791-USD,NexDAX Chain USD,0.003820,0.001037,37.28%,0
LIVE-USD,TRONbetLive USD,0.012812,0.000001,0.01%,0
HAVY-USD,Havy USD,0.000034,0.000001,2.27%,0
CZOL-USD,Czolana USD,0.001579,0.000043,2.79%,0
ELONDRAGON-USD,ELON DRAGON USD,0.00000004,-0.00000002,-35.30%,0
EXEN-USD,Exen Coin USD,0.205478,-0.001871,-0.90%,0
DEFY-USD,DEFY USD,0.000508,0.000048,10.54%,0
BALI-USD,Bali Coin USD,0.002789,0.000072,2.65%,0
JF-USD,Jswap.Finance USD,0.006221,0.000000,0.00%,0
BTRL-USD,BitcoinRegular USD,0.010994,0.000035,0.32%,0
TUNA-USD,TUNACOIN USD,0.014632,-0.000052,-0.35%,0
HARE-USD,Hare Token USD,0.00000000,0.00000000,1.02%,0
DVK-USD,Devikins USD,0.000599,-0.000006,-0.94%,0
SPOL29093-USD,Sociapol USD,0.000105,-0.000002,-1.94%,0
IBANK-USD,iBank USD,0.000697,0.000018,2.67%,0
GROKKY-USD,GroKKy USD,0.00000000,0.00000000,0.00%,0
XM-USD,xMooney USD,0.00000238,0.00000005,2.24%,0
SPIDERMAN-USD,SPIDERMAN BITCOIN USD,0.00000000,0.00000000,2.39%,0
UTT-USD,United Traders Token USD,0.005033,-0.007071,-58.42%,0
TBC-USD,TeraBlock USD,0.004731,0.000064,1.37%,0
WFT-USD,Windfall Token USD,0.113811,0.006540,6.10%,0
2GCC-USD,2G CARBON COIN USD,0.006590,-0.000095,-1.41%,0
POT25508-USD,TraderDAO USD,0.002496,-0.000003,-0.13%,0
FMB26675-USD,Flappymoonbird USD,0.025632,0.001386,5.72%,0
VNM-USD,Venom USD,0.013837,0.000151,1.10%,0
CULO-USD,CULO USD,0.000012,-0.000000,-1.53%,0
RVST-USD,Revest Finance USD,0.325495,-0.024340,-6.96%,0
PASG-USD,Passage USD,0.044429,0.000912,2.10%,0
NAVX-USD,NAVI Protocol USD,0.284922,0.013192,4.85%,0
SEOR-USD,SEOR Network USD,0.005752,0.001213,26.73%,0
LIGO-USD,LIGO USD,0.000016,0.000002,10.39%,0
LUMI-USD,Lumi Credits USD,0.009468,0.000197,2.12%,0
MICKEY28971-USD,Steamboat Willie USD,0.001613,-0.000300,-15.67%,0
SEG-USD,Solar Energy USD,0.000034,0.000000,1.28%,0
CATCEO-USD,CATCEO USD,0.00000000,0.00000000,0.00%,0
TKN-USD,Monolith USD,0.087313,-0.001817,-2.04%,0
DOM19128-USD,Dominium USD,0.478182,0.000247,0.05%,0
GEON-USD,Triathon USD,0.002194,-0.000127,-5.45%,0
SCROOGE28069-USD,Scrooge USD,0.00000000,0.00000000,0.57%,0
JNB-USD,Jinbi Token USD,"11,938.12",24.36,0.20%,0
JLP-USD,Jupiter Perps LP USD,2.5278,0.0120,0.48%,0
MUSK28422-USD,Alan Musk USD,0.00000022,0.00000000,0.00%,0
BECN-USD,Beacon USD,0.002162,0.000055,2.62%,0
TRUMP29708-USD,MAGA USD,0.00000000,0.00000000,4.07%,0
ARTEM-USD,Artem Coin USD,0.003810,0.000071,1.90%,0
POSW-USD,PoSW Coin USD,0.002789,0.000073,2.67%,0
PSWAP-USD,Polkaswap USD,0.002077,0.000046,2.26%,0
BSFM29549-USD,BABY SAFEMOON USD,0.009171,0.000107,1.18%,0
YOU27623-USD,YOUWHO USD,0.000953,0.000016,1.70%,0
JELLY23071-USD,Jelly eSports USD,0.007376,-0.001268,-14.67%,0
BCDN-USD,BlockCDN USD,0.000363,-0.000015,-4.06%,0
RETH2-USD,StakeWise USD,"3,353.99",33.59,1.01%,0
PALAI-USD,PaladinAI USD,0.087940,-0.001386,-1.55%,0
KLEO-USD,Kleomedes USD,0.002095,0.000001,0.05%,0
YIELDX-USD,Yield Finance USD,0.001913,-0.000031,-1.58%,0
CHINAZILLA-USD,ChinaZilla USD,0.00000000,0.00000000,0.35%,0
SMRAT-USD,Secured MoonRat Token USD,0.00000000,0.00000000,0.68%,0
JOJO28960-USD,JOJO USD,0.000067,0.000000,0.73%,0
MER9549-USD,Mercurial Finance USD,0.000156,-0.000000,-0.04%,0
HOMIECOIN-USD,Homie Wars USD,0.00000183,0.00000000,0.00%,0
XTT-B20-USD,XTblock USD,0.002471,0.000011,0.43%,0
RU-USD,RIFI United USD,0.000260,0.000000,0.00%,0
PDRAGON-USD,Phoenix Dragon USD,0.006272,0.000059,0.94%,0
BMF-USD,MetaFame USD,0.000031,0.000000,0.00%,0
GM14271-USD,GM Wagmi USD,0.00000398,-0.00000063,-13.65%,0
ESHIB15428-USD,Euro Shiba Inu USD,0.00000000,0.00000000,51.96%,0
ETF28918-USD,ETF USD,0.00000000,0.00000000,40.28%,0
DETF-USD,Decentralized ETF USD,0.105929,0.015100,16.62%,0
PACM-USD,Pacman Blastoff USD,0.00000050,0.00000001,1.65%,0
ECLIP-USD,Eclipse Fi USD,0.286749,0.010993,3.99%,0
HARAM-USD,HARAM USD,0.00000000,0.00000000,3.52%,0
BLACK9450-USD,BLACKHOLE PROTOCOL USD,0.000015,0.000007,93.62%,0
CLAM-USD,Clams USD,0.289202,0.015566,5.69%,0
STF-USD,Structure finance USD,0.009358,-0.000363,-3.73%,0
YOC-USD,Yocoin USD,0.000052,0.000020,60.52%,0
A51-USD,A51 Finance USD,0.318652,0.003072,0.97%,0
SWI-USD,Swinca USD,0.000011,0.000000,0.00%,0
DEMIR-USD,Adana Demirspor Token USD,0.594297,0.002183,0.37%,0
BULLINU-USD,Bull inu USD,0.00000000,0.00000000,1.09%,0
SHPP-USD,Shipit pro USD,0.001198,0.000017,1.43%,0
BULLPEPE-USD,Bullpepe USD,0.00000000,0.00000000,3.52%,0
SHINJA22916-USD,Shibnobi(New) USD,0.000025,-0.000000,-0.01%,0
PAWS-USD,PawStars USD,0.00000003,0.00000000,1.17%,0
SPC23174-USD,Storepay USD,0.000067,-0.000000,-0.05%,0
